관서명, 전화번호
서울청, 02-2250-5734 
서울강남, 02-3465-8459 
서울동부, 02-2142-8836
서울서부, 02-2077-6144
서울남부, 02-2639-2243
서울북부, 02-950-9760
서울관악, 02-3282-9090
중부청, 032-460-4656
인천북부, 032-540-7930
부천, 032-714-8752
의정부, 031-850-7629
고양, 031-931-2839
경기, 031-259-0209
성남, 031-740-6718
안양, 031-463-7365
안산, 031-412-1919
평택, 031-646-1147
강원, 033-269-3579
강릉, 033-650-2516
원주, 033-769-0816
태백, 033-550-8623
영월, 033-371-6236
부산청, 051-850-6493
부산동부, 051-559-6683
부산북부, 051-309-1512
창원, 055-239-6574
울산, 052-228-3857
양산, 055-330-9534
진주, 055-760-6504
통영, 055-650-1917
대구청, 053-667-6221
대구서부, 053-605-9112
포항, 054-271-6748
구미, 054-450-3581
영주, 054-639-1156
안동, 054-851-8035
광주청, 062-975-6418
제주, 064-728-7118
전주, 063-240-3363
익산, 063-839-0027
군산, 063-450-0517
목포, 061-280-0130
여수, 061-650-0194
제주, 064-728-7118
대전청, 042-480-6341
청주, 043-299-1230
천안, 041-560-2835
충주, 043-840-4056
보령, 041-930-6133
서산, 041-661-5649
