branch_name,number,institution_name
서울청, 02-2250-5734 ,모성보호 신고센터(육아휴직 관련 신고 및 상담)
서울강남, 02-3465-8459 ,모성보호 신고센터(육아휴직 관련 신고 및 상담)
서울동부, 02-2142-8836,모성보호 신고센터(육아휴직 관련 신고 및 상담)
서울서부, 02-2077-6144,모성보호 신고센터(육아휴직 관련 신고 및 상담)
서울남부, 02-2639-2243,모성보호 신고센터(육아휴직 관련 신고 및 상담)
서울북부, 02-950-9760,모성보호 신고센터(육아휴직 관련 신고 및 상담)
서울관악, 02-3282-9090,모성보호 신고센터(육아휴직 관련 신고 및 상담)
중부청, 032-460-4656,모성보호 신고센터(육아휴직 관련 신고 및 상담)
인천북부, 032-540-7930,모성보호 신고센터(육아휴직 관련 신고 및 상담)
부천, 032-714-8752,모성보호 신고센터(육아휴직 관련 신고 및 상담)
의정부, 031-850-7629,모성보호 신고센터(육아휴직 관련 신고 및 상담)
고양, 031-931-2839,모성보호 신고센터(육아휴직 관련 신고 및 상담)
경기, 031-259-0209,모성보호 신고센터(육아휴직 관련 신고 및 상담)
성남, 031-740-6718,모성보호 신고센터(육아휴직 관련 신고 및 상담)
안양, 031-463-7365,모성보호 신고센터(육아휴직 관련 신고 및 상담)
안산, 031-412-1919,모성보호 신고센터(육아휴직 관련 신고 및 상담)
평택, 031-646-1147,모성보호 신고센터(육아휴직 관련 신고 및 상담)
강원, 033-269-3579,모성보호 신고센터(육아휴직 관련 신고 및 상담)
강릉, 033-650-2516,모성보호 신고센터(육아휴직 관련 신고 및 상담)
원주, 033-769-0816,모성보호 신고센터(육아휴직 관련 신고 및 상담)
태백, 033-550-8623,모성보호 신고센터(육아휴직 관련 신고 및 상담)
영월, 033-371-6236,모성보호 신고센터(육아휴직 관련 신고 및 상담)
부산청, 051-850-6493,모성보호 신고센터(육아휴직 관련 신고 및 상담)
부산동부, 051-559-6683,모성보호 신고센터(육아휴직 관련 신고 및 상담)
부산북부, 051-309-1512,모성보호 신고센터(육아휴직 관련 신고 및 상담)
창원, 055-239-6574,모성보호 신고센터(육아휴직 관련 신고 및 상담)
울산, 052-228-3857,모성보호 신고센터(육아휴직 관련 신고 및 상담)
양산, 055-330-9534,모성보호 신고센터(육아휴직 관련 신고 및 상담)
진주, 055-760-6504,모성보호 신고센터(육아휴직 관련 신고 및 상담)
통영, 055-650-1917,모성보호 신고센터(육아휴직 관련 신고 및 상담)
대구청, 053-667-6221,모성보호 신고센터(육아휴직 관련 신고 및 상담)
대구서부, 053-605-9112,모성보호 신고센터(육아휴직 관련 신고 및 상담)
포항, 054-271-6748,모성보호 신고센터(육아휴직 관련 신고 및 상담)
구미, 054-450-3581,모성보호 신고센터(육아휴직 관련 신고 및 상담)
영주, 054-639-1156,모성보호 신고센터(육아휴직 관련 신고 및 상담)
안동, 054-851-8035,모성보호 신고센터(육아휴직 관련 신고 및 상담)
광주청, 062-975-6418,모성보호 신고센터(육아휴직 관련 신고 및 상담)
제주, 064-728-7118,모성보호 신고센터(육아휴직 관련 신고 및 상담)
전주, 063-240-3363,모성보호 신고센터(육아휴직 관련 신고 및 상담)
익산, 063-839-0027,모성보호 신고센터(육아휴직 관련 신고 및 상담)
군산, 063-450-0517,모성보호 신고센터(육아휴직 관련 신고 및 상담)
목포, 061-280-0130,모성보호 신고센터(육아휴직 관련 신고 및 상담)
여수, 061-650-0194,모성보호 신고센터(육아휴직 관련 신고 및 상담)
제주, 064-728-7118,모성보호 신고센터(육아휴직 관련 신고 및 상담)
대전청, 042-480-6341,모성보호 신고센터(육아휴직 관련 신고 및 상담)
청주, 043-299-1230,모성보호 신고센터(육아휴직 관련 신고 및 상담)
천안, 041-560-2835,모성보호 신고센터(육아휴직 관련 신고 및 상담)
충주, 043-840-4056,모성보호 신고센터(육아휴직 관련 신고 및 상담)
보령, 041-930-6133,모성보호 신고센터(육아휴직 관련 신고 및 상담)
서산, 041-661-5649,모성보호 신고센터(육아휴직 관련 신고 및 상담)
