Publisher,Category,Title,Sales,Year,Month,Age
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 영어영역 영어 (2017),552 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 국어영역 문학 (2017),524 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 수학영역 확률과 통계 (2017),490 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 국어영역 독서 (2017),476 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 영어영역 영어독해연습 (2017),468 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 국어영역 화법 작문 문법 (2017),453 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 영어영역 영어듣기 (2017),410 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 한국사영역 한국사 (2017),358 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 수학영역 수학 2 & 미적분 1 (2017),303 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBSi 강의노트 수능개념 윤혜정의 개념의 나비효과 (2017),273 권,2017,01,1
대원씨아이,소설,너의 이름은.,270 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBSi 강의노트 수능개념 윤혜정의 개념의 나비효과 미니과제 (2017),207 권,2017,01,1
대원씨아이,만화/라이트노벨,너의 이름은. - Another Side : Earthbound,198 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 수학영역 기하와 벡터 (2017),201 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 수학영역 미적분 2 (2017),191 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 사회탐구영역 사회 문화 (2017),170 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 과학탐구영역 생명과학 1 (2017),156 권,2017,01,1
키출판사,초중고생학습서,매3비 - 매일 지문 3개씩 푸는 비문학 독서 수능기출 (2017),149 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 사회탐구영역 생활과 윤리 (2017),144 권,2017,01,1
대원씨아이(만화/잡지),만화/라이트노벨,너의 이름은 1,123 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 과학탐구영역 화학 1 (2017),121 권,2017,01,1
예담,시/에세이,어쩌면 별들이 너의 슬픔을 가져갈지도 몰라,118 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 과학탐구영역 지구과학 1 (2017),108 권,2017,01,1
키출판사,초중고생학습서,매3문 - 매일 지문 3개씩 푸는 문학 수능기출 (2017),105 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBSi 강의노트 수능개념 박봄의 사회문화 개념홀릭 (2017),102 권,2017,01,1
(주)태건연구소,초중고생학습서,2018 설민석 수능 한국사 개념완성 + 필기노트 세트,100 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 사회탐구영역 한국지리 (2017),94 권,2017,01,1
대원씨아이(만화/잡지),만화/라이트노벨,너의 이름은 2,90 권,2017,01,1
알에이치코리아(RHK),시/에세이,도깨비 포토에세이,82 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 강의노트 Rose Lee의 Grammar Holic,88 권,2017,01,1
키출판사,초중고생학습서,예비 매3비 - 매일 지문 3개씩 푸는 비문학 독서 기출,79 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBSi 강의노트 수능개념 이지영의 생활과 윤리 시크릿 노트 플러스 (2017),75 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 2018학년도 수능연계교재의 VOCA 1800 (2017),61 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBSi 강의노트 수능개념 주혜연의 절대평가 잡는 해석공식 WHY (2017),59 권,2017,01,1
알에이치코리아(RHK),소설,도깨비 1,56 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBSi 강의노트 수능개념 큰별쌤의 별 별 한국사 (2017),56 권,2017,01,1
도서출판세계사,역사,설민석의 조선왕조실록,55 권,2017,01,1
개념원리,초중고생학습서,개념원리 확률과 통계 (2017년용),53 권,2017,01,1
좋은책신사고,초중고생학습서,신사고 쎈 확률과 통계 (2017),52 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 수능특강 과학탐구영역 물리 1 (2017),53 권,2017,01,1
키출판사,초중고생학습서,예비 매3문 - 매일 지문 3개씩 푸는 문학 기출,50 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBSi 강의노트 수능개념 쾌걸 뽕균샘의 돌격 한국지리 (2017),50 권,2017,01,1
좋은책신사고,초중고생학습서,신사고 쎈 미적분 1 (2017),49 권,2017,01,1
마더텅,초중고생학습서,2018 수능대비 마더텅 수능기출문제집 영어 독해 (2017),49 권,2017,01,1
대원씨아이,만화/라이트노벨,초속 5센티미터,48 권,2017,01,1
개념원리,초중고생학습서,개념원리 미적분 1 (2017년용),49 권,2017,01,1
중앙m&b(잡지),잡지,쎄씨 CECI (월간) 2월호 + [부록] 1.유리카 눈썹 타투펜 10g (내츄럴브라운 1종 증정) + 2.눈썹가이드,51 권,2017,01,1
한국교육방송공사(도서),초중고생학습서,EBS 고등 예비과정 수학 1 (2017년),46 권,2017,01,1
위즈덤하우스,시/에세이,화랑 포토북,44 권,2017,01,1
대원씨아이,만화/라이트노벨,언어의 정원,40 권,2017,01,1
예담,시/에세이,어쩌면 별들이 너의 슬픔을 가져갈지도 몰라,765 권,2017,01,2
대원씨아이,소설,너의 이름은.,616 권,2017,01,2
도서출판세계사,역사,설민석의 조선왕조실록,553 권,2017,01,2
심플라이프,자기계발,자존감 수업,528 권,2017,01,2
대원씨아이,만화/라이트노벨,너의 이름은. - Another Side : Earthbound,468 권,2017,01,2
로크미디어,자기계발,완벽한 공부법,442 권,2017,01,2
알에이치코리아(RHK),시/에세이,도깨비 포토에세이,337 권,2017,01,2
ST Unitas (에스티유니타스),자격서/수험서,2017 선재국어 약점체크 반쪽 모의고사,323 권,2017,01,2
알에이치코리아(RHK),소설,도깨비 1,277 권,2017,01,2
해커스어학연구소,국어/외국어/사전,해커스 신토익 실전 1000제 1 Reading 문제집,278 권,2017,01,2
ST Unitas (에스티유니타스),자격서/수험서,2017 선재국어 기출실록 세트,262 권,2017,01,2
