Title,Author,Publisher,Price,Publish_Date,Sales Index,Rating,Year,Month,Category,Gender,Age
팬 하나로 충분한 두 사람 식탁,국가비,달,31500,2023년 06월,18882,9.4,2023,6,가정 살림,1,10
집에서 운영하는 작은 빵집 SOFT BREAD,호야,더테이블,29700,2023년 06월,20196,9.9,2023,6,가정 살림,1,10
베이킹은 과학이다,"나카야마 히로노리, 기무라 마키코",터닝포인트,20700,2017년 11월,11133,9.5,2023,6,가정 살림,1,10
맛있어서 지속 가능한 디디미니 다이어트 레시피,미니 박지우,빅피시,16920,2022년 05월,7704,9.9,2023,6,가정 살림,1,10
"사춘기 딸에게 힘이 되어주는, 부모의 말 공부",이현정,포레스트북스,15750,2023년 04월,13689,9.6,2023,6,가정 살림,1,10
베이킹은 과학이다 : 제빵편,"카지하라 요시하루, 기무라 마키코",터닝포인트,23400,2022년 09월,11100,9.9,2023,6,가정 살림,1,10
기적의 탄단지 다이어트 레시피,지영현,빅피시,16650,2023년 07월,5514,10,2023,6,가정 살림,1,10
잇츠 칵테일,김봉하,영진닷컴,27000,2023년 07월,1350,9.7,2023,6,가정 살림,1,10
1분 요리 뚝딱이형,뚝딱이형,길벗,19800,2023년 06월,29742,9.6,2023,6,가정 살림,1,10
아이들이 마음으로 글을 씁니다,오수민,초록비책공방,15300,2023년 06월,3360,10,2023,6,가정 살림,1,10
이은경쌤의 초등어휘일력 365,이은경,포레스트북스,16920,2022년 10월,176658,9.8,2023,6,가정 살림,1,30
삐뽀삐뽀 119 이유식,하정훈,유니책방,17010,2017년 12월,96990,9.8,2023,6,가정 살림,1,30
66일 인문학 대화법,김종원,카시오페아,15750,2023년 04월,28848,9.6,2023,6,가정 살림,1,30
한 끼 뚝딱! 맘 편한 토핑 이유식,율마(오애진),온더페이지,18900,2023년 05월,51090,9.8,2023,6,가정 살림,1,30
0~5세 골든 브레인 육아법,김보경,웨일북,16650,2023년 06월,14280,9.8,2023,6,가정 살림,1,30
