Year,Gender,Age_range,Amount_of_reading_per_year
2017,1,20s,0
2017,1,20s,0
2017,1,20s,1
2017,1,20s,10
2017,1,20s,10
2017,1,20s,10
2017,1,20s,10
2017,1,20s,12
2017,1,20s,13
2017,1,20s,150
2017,1,20s,15
2017,1,20s,12
2017,1,20s,20
2017,1,20s,20
2017,1,20s,29
2017,1,20s,8
2017,1,20s,30
2017,1,20s,35
2017,1,20s,36
2017,1,20s,6
2017,1,20s,9
2017,1,20s,12
2017,2,20s,0
2017,2,20s,0
2017,2,20s,0
2017,2,20s,0
2017,2,20s,0
2017,2,20s,0
2017,2,20s,0
2017,2,20s,1
2017,2,20s,10
2017,2,20s,10
2017,2,20s,15
2017,2,20s,20
2017,2,20s,60
2017,2,20s,22
2017,2,20s,23
2017,2,20s,24
2017,2,20s,3
2017,2,20s,4
2017,2,20s,30
2017,2,20s,5
2017,2,20s,40
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,2
2017,1,20s,1
2017,1,20s,1
2017,1,20s,2
2017,1,20s,10
2017,1,20s,10
2017,1,20s,10
2017,1,20s,10
2017,1,20s,13
2017,1,20s,12
2017,1,20s,24
2017,1,20s,15
2017,1,20s,25
2017,1,20s,2
2017,1,20s,2
2017,1,20s,20
2017,1,20s,20
2017,1,20s,20
2017,1,20s,24
2017,1,20s,3
2017,1,20s,3
2017,1,20s,3
2017,1,20s,6
2017,1,20s,30
2017,1,20s,40
2017,1,20s,40
2017,1,20s,8
2017,1,20s,9
2017,1,20s,9
2017,2,20s,0
2017,2,20s,0
2017,2,20s,0
2017,2,20s,0
2017,2,20s,0
2017,2,20s,0
2017,2,20s,0
2017,2,20s,0
2017,2,20s,1
2017,2,20s,1
2017,2,20s,1
2017,2,20s,10
2017,2,20s,10
2017,2,20s,10
2017,2,20s,10
2017,2,20s,10
2017,2,20s,10
2017,2,20s,10
2017,2,20s,11
2017,2,20s,12
2017,2,20s,12
2017,2,20s,15
2017,2,20s,15
2017,2,20s,3
2017,2,20s,21
2017,2,20s,23
2017,2,20s,24
2017,2,20s,25
2017,2,20s,31
2017,2,20s,3
2017,2,20s,4
2017,2,20s,5
2017,2,20s,30
2017,2,20s,35
2017,2,20s,37
2017,2,20s,4
2017,2,20s,4
2017,2,20s,5
2017,2,20s,7
2017,2,20s,50
2017,2,20s,6
2017,2,20s,6
2017,2,20s,63
2017,2,20s,101
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,0
2017,1,20s,3
2017,1,20s,1
2017,1,20s,1
2017,1,20s,10
2017,1,20s,10
2017,1,20s,20
2017,1,20s,25
2017,1,20s,17
2017,1,20s,200
2017,1,20s,24
2017,1,20s,24
2017,1,20s,27
2017,1,20s,30
2017,1,20s,7
2017,1,20s,5
2017,1,20s,5
2017,1,20s,5
2017,1,20s,5
