번호,시/도,시/군/구,서점명,매장번호,주소,인증여부
2565,충청북도,청주시,(주)휘게문고,043-259-2600,충북 청주시 상당구 상당로 66 (문화동),인증
2483,충청북도,제천시,경복서점,043-647-3816,충북 제천시 의림대로 88 (중앙로1가) 경복서점,인증
2443,충청북도,청주시,고려서점,043-212-2827,충북 청주시 청원구 율봉로 180-2 (율량동),미인증
2437,충청북도,제천시,고암팬시문구,043-648-7535,충북 제천시 용두천로 382 (고암동)고암두진백로아파트 상가 2동 101호,미인증
2285,충청북도,제천시,글터서점,043-684-8093,충북 제천시 용두대로21길 13 (하소동),미인증
2255,충청북도,청주시,꿈꾸는책방,043-222-5050,충북 청주시 상당구 상당로 142 (북문로2가) 1층 꿈꾸는책방,미인증
2177,충청북도,단양군,늘푸른서점,043-421-7640,충북 단양군 단양읍 삼봉로 280 늘푸른서점,미인증
2052,충청북도,청주시,대창서점,043-212-3261,충북 청주시 청원구 사뜸로 46 (율량동)2층,미인증
2038,충청북도,제천시,대학서점,043-644-2833,충북 제천시 의병대로 59-1 (명동),인증
1963,충청북도,청주시,동아리서점,043-273-6769,충북 청주시 흥덕구 사직대로81번길 37 (봉명동),미인증
1959,충청북도,증평군,동아서림,043-836-2469,충북 증평군 증평읍 중앙로 200,미인증
1877,충청북도,청주시,라임오렌지서점,043-213-0706,충북 청주시 청원구 오창읍 오창중앙로 101,미인증
1811,충청북도,옥천군,명륜당서점,043-732-1991,충북 옥천군 옥천읍 중앙로 36-1,미인증
1810,충청북도,옥천군,명륜당서점 분점,043-731-1990,충북 옥천군 옥천읍 중앙로 83,미인증
1787,충청북도,괴산군,모래잡이 북스,010-9455-0975,충북 괴산군 칠성면 괴강로두천4길 33-10 모래잡이 북스,미인증
1742,충청북도,충주시,문화당서점,043-847-4386,충북 충주시 금릉로 58 730 (칠금동),인증
1734,충청북도,보은군,문화서점,043-544-4345,충북 보은군 보은읍 보은로 108,미인증
1726,충청북도,괴산군,문화잇다,070-7724-4005,충북 괴산군 청천면 청천10길 4 책방 문화잇다,미인증
1703,충청북도,청주시,민사랑서점,043-262-6175,충북 청주시 흥덕구 복대동 865-9,미인증
1679,충청북도,청주시,발산문,043-235-5301,충북 청주시 흥덕구 가경로 88 (가경동),미인증
1678,충청북도,청주시,발산문고,043-263-0006,충북 청주시 흥덕구 사운로 303 1층 103호 (신봉동),미인증
1677,충청북도,청주시,발산문고,043-214-5464,충북 청주시 청원구 오창읍 중심상업2로 9-2 발산문고,미인증
1588,충청북도,청주시,북메이커,043-273-2409,충북 청주시 서원구 내수동로102번길 32 (사창동) 2층,미인증
1573,충청북도,청주시,북스탑,043-236-5132,충북 청주시 흥덕구 대농로 39 (복대동) B동 4층 401호,미인증
1570,충청북도,청주시,북스탑,043-236-5132,충북 청주시 흥덕구 대농로 39 (복대동),인증
1546,충청북도,충주시,북적북적,043-847-1845,충북 충주시 사직로 227 (성내동),미인증
1545,충청북도,충주시,북적북적2,043-848-4664,충북 충주시 남산로 60-1 (용산동),미인증
1437,충청북도,제천시,상아탑서점,043-646-7878,충북 제천시 의림대로 222 (청전동) 301호,미인증
1418,충청북도,청주시,샘터서적,043-224-5665,충북 청주시 흥덕구 가로수로 1330-1 (복대동),인증
1306,충청북도,청주시,세종서점산남점,043-294-3771,충북 청주시 서원구 산남로 49 세종빌딩 지하 1층 (산남동),미인증
1305,충청북도,청주시,세종서점하복대점,043-238-3771,충북 청주시 흥덕구 진재로 54 만복빌딩 2층 세종서점하복대점 (복대동),미인증
1242,충청북도,청주시,쉼표서적,043-291-3530,"충북 청주시 상당구 중고개로141번길 13-10 202호,203호,204호 (용암동)",미인증
